Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
r5.large, Red Hat Enterprise Linux, 324, 0, 73, 733.2767999999971, 632.8320999999993, 0, 0, 100.44469999999785
t2.small, Red Hat Enterprise Linux, 327, 0, 18, 558.777599999999, 525.4319999999975, 0, 0, 33.34560000000147
m4.16xlarge, Linux/UNIX, 406, 0, 51, 9608.051200000004, 5909.8179999999875, 0, 0, 3698.233200000016
g4dn.12xlarge, Linux/UNIX, 222, 218, 6, 6228.584100000011, 6228.288300000011, 218, 216, 0.29579999999987194
r4.8xlarge, SUSE Linux, 407, 0, 15, 6702.117899999997, 5228.134699999993, 0, 0, 1473.9832000000033
t2.micro, Windows, 406, 0, 0, 78.92640000000053, 78.92640000000053, 0, 0, 0.0
m4.16xlarge, Windows, 406, 0, 2, 38099.01399999998, 34559.00650000024, 0, 0, 3540.007499999738
m4.2xlarge, Linux/UNIX, 407, 1, 52, 1251.5540000000008, 820.6045999999998, 1, 0, 430.949400000001
g3.8xlarge, Windows, 320, 0, 0, 16558.08000000007, 16558.08000000007, 0, 0, 0.0
t3a.2xlarge, Linux/UNIX, 370, 0, 1, 809.0892000000035, 674.7546000000052, 0, 0, 134.33459999999832
r5.large, Linux/UNIX, 407, 1, 74, 350.38069999999965, 210.33369999999942, 1, 0, 140.04700000000022
t3.xlarge, Windows, 406, 0, 0, 1204.4250000000015, 1204.4250000000015, 0, 0, 0.0
m4.10xlarge, Windows, 406, 0, 2, 24240.14879999984, 21688.81920000002, 0, 0, 2551.329599999819
r5.large, Windows, 407, 0, 2, 1246.396800000008, 1106.2008000000035, 0, 0, 140.19600000000446
t2.small, Windows, 407, 0, 2, 155.7898000000003, 155.31120000000027, 0, 0, 0.47860000000002856
m4.10xlarge, Linux/UNIX, 406, 0, 63, 6996.0763999999945, 3947.681100000018, 0, 0, 3048.3952999999765
g4dn.16xlarge, Linux/UNIX, 222, 0, 4, 6935.053299999986, 6932.243999999985, 0, 0, 2.8093000000008033
t3.xlarge, Red Hat Enterprise Linux, 327, 1, 15, 1027.4688000000024, 865.9552000000045, 1, 0, 161.51359999999784
t2.small, SUSE Linux, 407, 0, 16, 360.7327000000024, 360.4392000000027, 0, 0, 0.2934999999997103
m4.10xlarge, Red Hat Enterprise Linux, 327, 0, 53, 7166.423300000035, 4241.813200000006, 0, 0, 2924.610100000029
g4dn.12xlarge, Windows, 222, 0, 3, 17994.725200000037, 17994.342700000037, 0, 0, 0.38249999999970896
r5.12xlarge, Linux/UNIX, 407, 0, 30, 9105.478399999998, 4997.918900000008, 0, 0, 4107.55949999999
g4dn.16xlarge, Red Hat Enterprise Linux, 222, 0, 4, 7627.693299999968, 7624.883999999968, 0, 0, 2.8092999999998938
m3.xlarge, SUSE Linux, 407, 0, 3, 1582.8703999999914, 1549.8767999999984, 0, 0, 32.993599999992966
t2.xlarge, Linux/UNIX, 407, 0, 7, 553.9049999999976, 544.0775999999984, 0, 0, 9.827399999999216
m3.xlarge, Windows, 320, 0, 6, 2082.9575000000036, 1923.8018000000004, 0, 0, 159.1557000000032
t3.xlarge, SUSE Linux, 407, 0, 16, 1552.761899999998, 1515.234700000001, 0, 0, 37.52719999999681
g4dn.12xlarge, Red Hat Enterprise Linux, 222, 1, 6, 6925.227899999993, 6920.928299999991, 1, 0, 4.299600000001192
m4.10xlarge, SUSE Linux, 406, 0, 28, 7970.476399999994, 5989.527099999986, 0, 0, 1980.9493000000084
g3.16xlarge, Windows, 406, 0, 2, 42016.12799999993, 42016.12799999993, 0, 0, 0.0
t2.micro, Linux/UNIX, 406, 0, 4, 34.15639999999997, 34.103999999999964, 0, 0, 0.052400000000005775
m4.4xlarge, Linux/UNIX, 407, 1, 81, 3157.3354999999956, 1773.337000000001, 1, 0, 1383.9984999999947
t3a.2xlarge, Windows, 370, 0, 2, 2108.1119999999914, 1981.8572999999924, 0, 0, 126.25469999999905
m4.2xlarge, Windows, 407, 0, 1, 4859.579999999991, 4348.5479999999825, 0, 0, 511.03200000000834
g3.4xlarge, Red Hat Enterprise Linux, 323, 0, 38, 3839.6693999999966, 3663.181699999993, 0, 0, 176.48770000000377
g3.4xlarge, Linux/UNIX, 406, 0, 25, 3594.3221000000103, 3348.760600000021, 0, 0, 245.56149999998934
g3.16xlarge, Red Hat Enterprise Linux, 323, 0, 10, 16542.768000000076, 11634.002399999974, 0, 0, 4908.7656000001025
m4.4xlarge, Red Hat Enterprise Linux, 327, 0, 63, 3487.103999999983, 2475.6586000000016, 0, 0, 1011.4453999999814
g3.16xlarge, Linux/UNIX, 406, 1, 17, 13401.008300000083, 13329.792000000083, 1, 0, 71.21630000000005
g3.16xlarge, SUSE Linux, 406, 1, 15, 14375.408299999994, 14304.19199999999, 1, 0, 71.21630000000368
t2.micro, Red Hat Enterprise Linux, 327, 0, 2, 514.8496000000038, 498.57120000000026, 0, 0, 16.2784000000035
t2.micro, SUSE Linux, 406, 0, 4, 131.59639999999962, 131.54399999999964, 0, 0, 0.052399999999977354
g3.8xlarge, Red Hat Enterprise Linux, 324, 0, 19, 8802.431999999957, 6344.928000000017, 0, 0, 2457.50399999994
m4.2xlarge, Red Hat Enterprise Linux, 327, 0, 28, 2295.9915, 1678.8396000000005, 0, 0, 617.1518999999996
t3a.2xlarge, Red Hat Enterprise Linux, 323, 0, 2, 1886.0615999999848, 1581.323399999992, 0, 0, 304.73819999999273
g3.8xlarge, SUSE Linux, 320, 0, 19, 6047.09479999997, 6021.119999999962, 0, 0, 25.974800000008145
g3.8xlarge, Linux/UNIX, 320, 0, 15, 5279.094800000021, 5253.120000000027, 0, 0, 25.974799999993593
g3.4xlarge, SUSE Linux, 406, 0, 34, 4568.722100000024, 4454.675000000036, 0, 0, 114.04709999998795
g3.4xlarge, Windows, 320, 0, 0, 8279.040000000035, 8279.040000000035, 0, 0, 0.0
m4.2xlarge, SUSE Linux, 407, 0, 20, 2466.943200000002, 2001.9206999999967, 0, 0, 465.02250000000527
m5.24xlarge, Windows, 407, 0, 1, 59079.794400000144, 52636.970399999984, 0, 0, 6442.824000000161
c5n.9xlarge, Linux/UNIX, 406, 1, 15, 5666.435900000021, 3759.1453999999803, 1, 0, 1907.290500000041
t3a.micro, Linux/UNIX, 370, 0, 2, 26.08819999999998, 21.20990000000001, 0, 0, 4.878299999999967
r5.8xlarge, SUSE Linux, 307, 0, 13, 4851.1094, 3949.399799999997, 0, 0, 901.7096000000033
c5n.9xlarge, Red Hat Enterprise Linux, 323, 0, 7, 6077.264500000002, 3680.8711999999823, 0, 0, 2396.3933000000197
t2.2xlarge, Linux/UNIX, 407, 0, 3, 1095.230699999996, 1088.1551999999967, 0, 0, 7.075499999999238
t3a.micro, Red Hat Enterprise Linux, 323, 0, 3, 494.1538999999991, 483.1882999999972, 0, 0, 10.965600000001928
r4.8xlarge, Linux/UNIX, 407, 0, 14, 5725.317900000003, 3201.383399999997, 0, 0, 2523.9345000000058
t1.micro, SUSE Linux, 406, 0, 1, 116.92799999999906, 116.92799999999906, 0, 0, 0.0
m5.2xlarge, Red Hat Enterprise Linux, 327, 0, 47, 2367.545900000004, 1730.7457000000004, 0, 0, 636.8002000000038
t1.micro, Red Hat Enterprise Linux, 327, 0, 1, 492.4515999999979, 486.64319999999987, 0, 0, 5.8083999999980165
t1.micro, Linux/UNIX, 406, 0, 1, 19.487999999999886, 19.487999999999886, 0, 0, 0.0
t1.micro, Windows, 406, 0, 1, 19.487999999999886, 19.487999999999886, 0, 0, 0.0
c5n.4xlarge, Windows, 407, 0, 2, 9585.525299999992, 8666.336699999987, 0, 0, 919.188600000005
m5.2xlarge, Linux/UNIX, 406, 0, 67, 1589.9843000000014, 874.7296999999995, 0, 0, 715.2546000000019
r5a.12xlarge, Red Hat Enterprise Linux, 323, 1, 3, 6686.481499999971, 4950.782400000002, 1, 0, 1735.699099999969
m5.24xlarge, SUSE Linux, 407, 0, 15, 17284.485299999928, 13727.273100000011, 0, 0, 3557.2121999999163
t3a.medium, Windows, 370, 0, 5, 263.73599999999806, 247.90440000000098, 0, 0, 15.831599999997081
t2.2xlarge, Red Hat Enterprise Linux, 327, 0, 4, 2421.892800000001, 1900.9583999999913, 0, 0, 520.9344000000096
c5n.large, Red Hat Enterprise Linux, 323, 0, 12, 721.3063999999987, 614.7383999999986, 0, 0, 106.5680000000001
t2.2xlarge, SUSE Linux, 407, 0, 3, 2072.0306999999975, 2064.9551999999944, 0, 0, 7.075500000003103
m5.24xlarge, Linux/UNIX, 407, 0, 13, 16307.685299999961, 9695.559899999973, 0, 0, 6612.125399999988
m5.24xlarge, Red Hat Enterprise Linux, 327, 0, 14, 17154.943200000045, 8900.617800000013, 0, 0, 8254.325400000032
m5.16xlarge, Windows, 307, 0, 0, 26395.70019999989, 26395.70019999989, 0, 0, 0.0
c5n.large, Windows, 407, 0, 2, 1215.139199999993, 1087.4591999999955, 0, 0, 127.67999999999756
m5.16xlarge, SUSE Linux, 221, 0, 1, 6013.863000000013, 5121.615000000006, 0, 0, 892.2480000000069
c5n.9xlarge, Windows, 407, 0, 4, 21870.55200000018, 19947.862499999967, 0, 0, 1922.689500000215
c5n.large, Linux/UNIX, 407, 0, 15, 328.1136000000001, 188.99179999999922, 0, 0, 139.12180000000086
r4.4xlarge, Windows, 407, 0, 1, 9840.283200000056, 8769.503999999914, 0, 0, 1070.7792000001427
t3a.nano, Linux/UNIX, 370, 1, 29, 12.535399999999932, 10.497699999999922, 1, 0, 2.03770000000001
r5n.8xlarge, Red Hat Enterprise Linux, 202, 0, 1, 2252.573499999996, 2252.573499999996, 0, 0, 0.0
m5.8xlarge, Red Hat Enterprise Linux, 307, 0, 15, 3319.047799999986, 3316.195899999985, 0, 0, 2.8519000000010237
r5.16xlarge, Red Hat Enterprise Linux, 307, 0, 1, 5886.295200000019, 5886.295200000019, 0, 0, 0.0
r5.8xlarge, Red Hat Enterprise Linux, 307, 0, 13, 3472.787899999995, 3444.2283999999972, 0, 0, 28.55949999999757
c5n.18xlarge, Windows, 406, 0, 1, 43632.65759999976, 39030.50399999994, 0, 0, 4602.153599999816
m5.8xlarge, SUSE Linux, 221, 0, 7, 3271.970499999999, 2831.791200000004, 0, 0, 440.1792999999948
r5n.8xlarge, Linux/UNIX, 202, 0, 1, 1622.3335000000034, 1622.3335000000034, 0, 0, 0.0
m5.4xlarge, Windows, 407, 0, 1, 9847.120800000064, 8772.520799999917, 0, 0, 1074.6000000001477
c5n.2xlarge, Linux/UNIX, 406, 1, 27, 1358.3038999999994, 827.493099999999, 1, 0, 530.8108000000004
r5n.8xlarge, Windows, 202, 0, 0, 8758.425999999985, 8758.425999999985, 0, 0, 0.0
m5.8xlarge, Linux/UNIX, 307, 0, 15, 2361.2077999999933, 2358.355899999992, 0, 0, 2.8519000000014785
c5n.18xlarge, Red Hat Enterprise Linux, 322, 0, 15, 10014.71519999999, 6369.386200000032, 0, 0, 3645.328999999958
c5d.xlarge, Windows, 406, 0, 1, 2424.307199999986, 2168.3135999999913, 0, 0, 255.99359999999479
m5.large, Windows, 406, 0, 1, 1227.7439999999926, 1094.015999999999, 0, 0, 133.7279999999937
c5n.18xlarge, Linux/UNIX, 407, 0, 21, 11390.016199999922, 6802.294899999932, 0, 0, 4587.72129999999
r4.4xlarge, SUSE Linux, 407, 1, 14, 3847.390499999999, 3195.4752000000003, 1, 0, 651.9152999999988
m5.large, Linux/UNIX, 407, 1, 45, 392.7808000000001, 199.3926999999992, 1, 0, 193.38810000000092
m5.8xlarge, Windows, 307, 0, 1, 13198.282800000077, 13198.282800000077, 0, 0, 0.0
m5.large, SUSE Linux, 407, 0, 33, 1373.6690999999998, 1241.812200000002, 0, 0, 131.85689999999795
m5.large, Red Hat Enterprise Linux, 327, 0, 47, 824.7456999999986, 632.8686000000007, 0, 0, 191.87709999999788
m5.2xlarge, Windows, 407, 0, 2, 4923.07199999997, 4387.087199999958, 0, 0, 535.984800000012
c5n.2xlarge, Windows, 406, 0, 4, 4847.639999999991, 4406.394599999982, 0, 0, 441.2454000000089
c5n.4xlarge, Linux/UNIX, 407, 1, 14, 1634.1715999999974, 1486.6942999999985, 1, 0, 147.47729999999888
m5.4xlarge, Linux/UNIX, 407, 0, 66, 2807.5672, 1849.862400000001, 0, 0, 957.7047999999991
c5n.4xlarge, Red Hat Enterprise Linux, 322, 0, 10, 3076.223999999995, 2125.2925000000027, 0, 0, 950.9314999999924
m5.2xlarge, SUSE Linux, 406, 0, 34, 2564.3842999999983, 2066.209000000004, 0, 0, 498.1752999999944
c5n.2xlarge, Red Hat Enterprise Linux, 323, 0, 16, 2102.075799999999, 1609.7797999999962, 0, 0, 492.296000000003
t3a.micro, Windows, 370, 0, 1, 106.55999999999918, 102.90590000000032, 0, 0, 3.654099999998863
m5.4xlarge, SUSE Linux, 407, 0, 38, 3784.367200000001, 3235.0822999999955, 0, 0, 549.2849000000056
m5.4xlarge, Red Hat Enterprise Linux, 327, 0, 50, 3711.5146999999993, 2517.9743000000003, 0, 0, 1193.540399999999
r5n.large, Windows, 202, 0, 0, 547.3991000000021, 547.3991000000021, 0, 0, 0.0
t3a.micro, SUSE Linux, 370, 0, 5, 712.8867000000004, 685.8731000000028, 0, 0, 27.01359999999761
r5n.large, Linux/UNIX, 202, 0, 1, 101.3798999999995, 101.37429999999948, 0, 0, 0.0056000000000153705
r5n.large, Red Hat Enterprise Linux, 202, 0, 1, 392.25989999999905, 392.25429999999903, 0, 0, 0.0056000000000153705
t2.large, SUSE Linux, 407, 0, 3, 1258.7077999999967, 1248.3503999999914, 0, 0, 10.357400000005327
d2.2xlarge, Windows, 406, 0, 0, 6187.439999999942, 6187.439999999942, 0, 0, 0.0
t3a.large, Windows, 370, 0, 2, 446.08129999999755, 414.11790000000315, 0, 0, 31.963399999994408
m4.xlarge, SUSE Linux, 407, 0, 28, 1698.4717000000003, 1488.2311999999908, 0, 0, 210.24050000000943
d2.2xlarge, SUSE Linux, 406, 0, 0, 5008.415999999984, 5008.415999999984, 0, 0, 0.0
t2.large, Windows, 407, 0, 0, 545.0544000000018, 545.0544000000018, 0, 0, 0.0
d2.4xlarge, Linux/UNIX, 407, 0, 0, 8087.904000000046, 8087.904000000046, 0, 0, 0.0
d2.2xlarge, Red Hat Enterprise Linux, 323, 0, 1, 5054.304000000021, 4219.680000000007, 0, 0, 834.6240000000143
t2.large, Red Hat Enterprise Linux, 327, 0, 5, 820.9008000000011, 690.8400000000007, 0, 0, 130.06080000000043
m4.xlarge, Red Hat Enterprise Linux, 327, 0, 43, 1087.7523000000012, 788.4427999999976, 0, 0, 299.3095000000036
d2.4xlarge, SUSE Linux, 407, 0, 0, 9064.704000000014, 9064.704000000014, 0, 0, 0.0
d2.4xlarge, Windows, 407, 0, 0, 11037.840000000055, 11037.840000000055, 0, 0, 0.0
m4.xlarge, Linux/UNIX, 407, 2, 55, 622.8142000000006, 388.72189999999983, 2, 0, 234.09230000000076
d2.4xlarge, Red Hat Enterprise Linux, 323, 0, 1, 9100.848000000033, 7431.600000000041, 0, 0, 1669.2479999999914
m4.xlarge, Windows, 406, 0, 1, 2424.307199999986, 2168.3135999999913, 0, 0, 255.99359999999479
m5.12xlarge, Windows, 406, 0, 1, 29467.80479999991, 26245.915199999992, 0, 0, 3221.8895999999186
c5n.metal, Windows, 264, 0, 2, 26762.188599999958, 26762.128699999957, 0, 0, 0.059900000000197906
t2.2xlarge, Windows, 407, 0, 0, 1693.7711999999888, 1693.7711999999888, 0, 0, 0.0
r5.16xlarge, Linux/UNIX, 307, 0, 1, 4928.45520000003, 4928.45520000003, 0, 0, 0.0
t3a.medium, Red Hat Enterprise Linux, 324, 0, 3, 577.8090999999996, 538.7373999999974, 0, 0, 39.07170000000224
m5.12xlarge, SUSE Linux, 407, 2, 37, 8199.94210000001, 7518.517600000013, 2, 0, 681.4244999999964
c5n.xlarge, Linux/UNIX, 407, 1, 12, 626.4199999999998, 378.3879999999996, 1, 0, 248.03200000000027
r5a.12xlarge, Linux/UNIX, 406, 0, 14, 8522.770500000053, 5182.405100000015, 0, 0, 3340.365400000038
c5n.metal, Linux/UNIX, 264, 1, 1, 5784.86259999998, 5775.999299999981, 1, 0, 8.863299999999072
m5.16xlarge, Red Hat Enterprise Linux, 307, 0, 1, 5670.779000000025, 5662.1341000000275, 0, 0, 8.644899999997506
m5.16xlarge, Linux/UNIX, 307, 0, 1, 4712.939, 4704.294099999997, 0, 0, 8.644900000002963
c5n.metal, Red Hat Enterprise Linux, 264, 1, 1, 6608.542600000039, 6599.679300000039, 1, 0, 8.863299999999981
c5n.xlarge, Windows, 406, 0, 1, 2424.307199999986, 2168.3135999999913, 0, 0, 255.99359999999479
d2.2xlarge, Linux/UNIX, 406, 0, 0, 4034.016000000023, 4034.016000000023, 0, 0, 0.0
t3a.medium, Linux/UNIX, 370, 0, 2, 101.97479999999976, 84.51339999999976, 0, 0, 17.461399999999998
t2.large, Linux/UNIX, 407, 0, 3, 281.90779999999995, 271.55040000000065, 0, 0, 10.357399999999302
m5.12xlarge, Red Hat Enterprise Linux, 327, 0, 33, 9087.19920000002, 5267.573999999995, 0, 0, 3819.625200000024
c5n.xlarge, Red Hat Enterprise Linux, 323, 0, 6, 1109.9104999999997, 763.163299999997, 0, 0, 346.74720000000275
m5.12xlarge, Linux/UNIX, 407, 1, 33, 6184.815799999996, 5195.004299999997, 1, 0, 989.8114999999989
t3.large, SUSE Linux, 406, 0, 29, 1155.8733000000002, 1136.3759000000032, 0, 0, 19.497399999997015
t3.micro, Red Hat Enterprise Linux, 327, 0, 2, 510.12940000000066, 495.41040000000305, 0, 0, 14.718999999997607
i3.4xlarge, SUSE Linux, 407, 0, 14, 5618.1002000000035, 4635.283699999998, 0, 0, 982.8165000000054
i3.4xlarge, Windows, 406, 0, 1, 10819.737600000035, 10819.737600000035, 0, 0, 0.0
r5.metal, Red Hat Enterprise Linux, 323, 0, 16, 9509.31119999995, 6260.484900000021, 0, 0, 3248.826299999928
r4.large, Red Hat Enterprise Linux, 327, 0, 9, 810.0502999999973, 632.381899999999, 0, 0, 177.66839999999831
i3.8xlarge, Linux/UNIX, 407, 0, 22, 16609.772100000075, 7384.030799999982, 0, 0, 9225.741300000092
i3en.large, Red Hat Enterprise Linux, 322, 1, 5, 992.5868999999951, 987.6331999999951, 1, 0, 4.953700000000026
r5.metal, Windows, 406, 0, 4, 54137.66399999964, 49762.68770000038, 0, 0, 4374.97629999926
t3.large, Red Hat Enterprise Linux, 326, 0, 24, 788.1290999999991, 666.6094999999987, 0, 0, 121.51960000000042
i3en.metal, Linux/UNIX, 226, 1, 2, 18415.95500000005, 17590.212700000055, 1, 0, 825.7422999999944
t3.micro, SUSE Linux, 407, 0, 5, 805.7807999999917, 785.2455999999924, 0, 0, 20.53519999999935
r4.large, Linux/UNIX, 407, 1, 7, 322.63339999999994, 198.6754999999992, 1, 0, 123.95790000000073
i3.4xlarge, Linux/UNIX, 407, 0, 17, 4641.300199999998, 3658.4836999999916, 0, 0, 982.8165000000063
i3.4xlarge, Red Hat Enterprise Linux, 327, 0, 19, 6220.924500000046, 3995.363499999986, 0, 0, 2225.5610000000597
i3en.metal, Red Hat Enterprise Linux, 226, 1, 2, 19121.075000000015, 18295.332700000006, 1, 0, 825.742300000009
i3en.large, Windows, 357, 1, 2, 1374.4930999999965, 1369.1663999999967, 1, 0, 5.326699999999846
i3.8xlarge, SUSE Linux, 407, 0, 21, 17586.57209999998, 8360.830799999922, 0, 0, 9225.741300000058
i3en.large, Linux/UNIX, 357, 1, 5, 582.3583000000023, 580.9052000000024, 1, 0, 1.4530999999998357
t3.micro, Linux/UNIX, 407, 0, 0, 30.28080000000019, 30.28080000000019, 0, 0, 0.0
i3en.6xlarge, Windows, 357, 0, 0, 16429.99679999995, 16429.99679999995, 0, 0, 0.0
i3.8xlarge, Windows, 407, 0, 1, 21692.77440000007, 21692.77440000007, 0, 0, 0.0
i3.8xlarge, Red Hat Enterprise Linux, 327, 1, 24, 8417.47149999997, 6965.163399999967, 1, 0, 1452.3081000000038
i3.16xlarge, SUSE Linux, 407, 0, 32, 15763.690199999928, 15605.356799999863, 0, 0, 158.333400000065
i3en.xlarge, Red Hat Enterprise Linux, 322, 0, 16, 1560.6002000000055, 1511.5968000000046, 0, 0, 49.003400000000966
t3.nano, Linux/UNIX, 406, 0, 1, 15.5903999999999, 15.5903999999999, 0, 0, 0.0
i3.16xlarge, Windows, 407, 0, 1, 43385.54880000014, 43385.54880000014, 0, 0, 0.0
r4.xlarge, Red Hat Enterprise Linux, 327, 0, 10, 1146.0945999999967, 834.5573999999993, 0, 0, 311.53719999999737
t3.2xlarge, Windows, 406, 0, 2, 2408.8496000000027, 2408.849200000003, 0, 0, 0.0003999999998995918
i3.2xlarge, Linux/UNIX, 407, 0, 30, 2197.6811, 1830.0565999999958, 0, 0, 367.624500000004
i3en.xlarge, Linux/UNIX, 357, 0, 16, 1210.824200000004, 1161.8208000000047, 0, 0, 49.003399999999374
r5.metal, Linux/UNIX, 406, 0, 23, 11199.617800000016, 6753.094000000046, 0, 0, 4446.52379999997
i3.16xlarge, Red Hat Enterprise Linux, 327, 0, 33, 21935.835900000075, 12900.355200000055, 0, 0, 9035.48070000002
t3.nano, Red Hat Enterprise Linux, 327, 0, 3, 490.5, 483.53280000000257, 0, 0, 6.967199999997433
i3.16xlarge, Linux/UNIX, 407, 0, 32, 14786.890199999974, 14628.556799999966, 0, 0, 158.33340000000862
r5.xlarge, Red Hat Enterprise Linux, 324, 0, 103, 1031.4928999999986, 805.4934999999996, 0, 0, 225.999399999999
i3en.metal, SUSE Linux, 226, 1, 5, 19059.205000000038, 18291.45370000002, 1, 0, 767.7513000000181
t3.large, Linux/UNIX, 406, 0, 26, 255.36230000000012, 244.12069999999935, 0, 0, 11.241600000000773
i3.2xlarge, Windows, 406, 0, 1, 5409.8688000000175, 5409.8688000000175, 0, 0, 0.0
r5.xlarge, Linux/UNIX, 407, 0, 107, 728.7087000000006, 424.611299999999, 0, 0, 304.0974000000016
